City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust'-uda,54.1742,103.0304,23.58,30,15,1.12,RU,1718503170
1,atafu village,-8.5421,-172.5159,28.83,73,23,4.52,TK,1718503171
2,aasiaat,68.7098,-52.8699,2.6,88,18,2.77,GL,1718503173
3,grytviken,-54.2811,-36.5092,-4.84,78,20,4.45,GS,1718503174
4,coquimbo,-29.9533,-71.3436,13.85,79,0,2.57,CL,1718503135
5,jamestown,42.097,-79.2353,17.8,59,0,2.06,US,1718503011
6,tura,25.5198,90.2201,27.2,92,94,2.81,IN,1718503178
7,sitka,57.0531,-135.33,14.94,67,20,6.17,US,1718503180
8,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,90,75,7.0,RU,1718503181
9,anadyr,64.75,177.4833,13.28,58,95,7.0,RU,1718503182
10,waitangi,-43.9535,-176.5597,13.79,90,0,2.24,NZ,1718503184
11,ribeira grande,38.5167,-28.7,20.99,93,71,4.02,PT,1718503185
12,bredasdorp,-34.5322,20.0403,11.45,93,83,2.66,ZA,1718503187
13,labasa,-16.4167,179.3833,27.79,78,67,4.02,FJ,1718503188
14,blackheath,51.4647,0.0079,13.04,86,8,4.63,GB,1718503189
15,kapa'a,22.0752,-159.319,30.99,79,10,3.58,US,1718503191
16,changchun,43.88,125.3228,21.98,50,0,3.63,CN,1718502896
17,holualoa,19.6228,-155.9522,25.86,76,38,0.45,US,1718503194
18,margaret river,-33.95,115.0667,16.92,74,29,4.65,AU,1718503195
19,thompson,55.7435,-97.8558,15.09,94,75,5.66,CA,1718503149
20,mount pearl,47.5166,-52.7813,17.14,94,100,8.75,CA,1718503198
21,port-aux-francais,-49.35,70.2167,1.53,69,98,6.12,TF,1718503199
22,stanley,54.868,-1.6985,8.21,94,40,2.57,GB,1718503015
23,vila velha,-20.3297,-40.2925,22.97,83,20,3.09,BR,1718502604
24,pacific grove,36.6177,-121.9166,21.23,73,0,6.69,US,1718503204
25,kourou,5.1552,-52.6478,25.03,90,19,2.26,GF,1718503206
26,miranda,3.2499,-76.2281,21.07,94,100,1.29,CO,1718503208
27,taoudenni,22.6783,-3.9836,36.28,10,0,6.2,ML,1718503210
28,west island,-12.1568,96.8225,25.99,94,75,8.75,CC,1718503211
29,tralee,52.2704,-9.7026,9.36,93,38,2.46,IE,1718503213
30,iqaluit,63.7506,-68.5145,2.85,93,100,2.06,CA,1718503213
31,rochester,43.1548,-77.6156,15.64,76,13,1.19,US,1718502611
32,vilyuchinsk,52.9306,158.4028,15.15,81,100,3.75,RU,1718503217
33,mokhsogollokh,61.4681,128.9203,21.24,48,100,3.88,RU,1718503219
34,lihue,21.9789,-159.3672,30.58,71,12,5.99,US,1718503220
35,saipan,15.1355,145.701,31.39,70,40,8.23,MP,1718503221
36,punta arenas,-53.15,-70.9167,-1.94,86,40,5.66,CL,1718503099
37,avarua,-21.2078,-159.775,27.03,78,0,6.69,CK,1718503224
38,port mathurin,-19.6833,63.4167,24.3,65,100,7.18,MU,1718503226
39,hithadhoo,-0.6,73.0833,28.01,74,4,1.42,MV,1718503227
40,leczyca,52.0596,19.1997,17.31,98,100,1.59,PL,1718503230
41,fortuna,40.5982,-124.1573,15.19,68,0,7.2,US,1718503232
42,talnakh,69.4865,88.3972,1.78,78,62,4.83,RU,1718503233
43,tindouf,27.6711,-8.1474,28.25,23,29,3.6,DZ,1718503235
44,ushuaia,-54.8,-68.3,-2.19,80,75,2.06,AR,1718503206
45,albany,42.6001,-73.9662,18.23,66,5,2.18,US,1718502778
46,puerto natales,-51.7236,-72.4875,-0.13,93,100,1.7,CL,1718503239
47,nabire,-3.3667,135.4833,29.47,66,100,1.16,ID,1718503240
48,minab,27.1467,57.0801,30.18,89,0,0.0,IR,1718503242
49,al qubbah,32.7616,22.2424,15.65,84,0,6.46,LY,1718503243
